unidad_numero,posicion,fuego
252,tde,8206R
252,ra,vacio 22
269,ddi,s/n
269,ddd,s/n
269,tie,s/n
269,tii,s/n
269,tdi,s/n
269,tde,s/n
224,ddi,13323
224,ddd,13322
224,tie,10219R
224,tii,10220R
224,tdi,11029R
224,tde,11028R
225,ddi,12841
225,ddd,12840
225,tie,10603R
225,tii,10602R
225,tdi,10484R
225,tde,10604R
225,ra,S/N
226,ddi,13321
226,ddd,13320
226,tie,10053R
226,tii,10054R
226,tdi,10051R
226,tde,10601R
275,ddi,13080
275,ddd,13079
275,tie,13214
275,tii,13215
275,tdi,13216
275,tde,13217
409,ddi,S/N
409,ddd,S/N
409,tie,S/N
409,tde,s/n
44,ddi,12663
44,ddd,12662
44,cie,12147
44,cii,12146
44,cdi,12145
44,cde,12144
44,tie,12164
44,tde,12165
44,ra,7818
45,ddi,12932
45,ddd,12931
45,cie,12915
45,cii,12916
45,cdi,12917
45,cde,12918
45,tie,13044
45,tde,13043
45,ra,3752
46,ddi,11201
46,ddd,11044
46,cie,12535
46,cii,12536
46,cdi,12537
46,cde,12538
46,tie,12047
46,tde,12046
38,ddi,12660
38,ddd,12661
38,cie,12525
38,cii,12526
38,cdi,12527
38,cde,12528
38,tie,11248
38,tde,11247
38,ra,3423
256,ddi,11824
256,ddd,11820
256,tie,11094
256,tii,11089
256,tdi,11096
256,tde,11087
2028,ddi,11206
2028,ddd,11205
2028,cie,9094
2028,cii,11261
2028,cdi,11217
2028,cde,11218
2028,tie,12664
2028,tde,11704H
255,ddi,11441
255,ddd,11440
255,tie,11823
255,tii,11821
255,tdi,11822
255,tde,11819
255,ra,11468
145,ddi,vacio 23
145,ddd,5868
145,tie,5042
145,tii,5046
145,tdi,4708
145,tde,5432
145,ra,5581
147,ddi,10055
147,ddd,10056
147,tie,9239
147,tii,9240
147,tdi,9241
147,tde,9242
147,ra,S/N
405,ddi,s/n
405,ddd,s/n
405,tie,s/n
405,tde,s/n
420,ddi,S/N
420,ddd,S/N
420,tie,S/N
420,tde,S/N
410,ddi,S/N
410,ddd,S/N
410,tie,S/N
410,tde,S/N
47,ddi,13006
47,ddd,13005
47,cie,10997
47,cii,10409
47,cdi,10407
47,cde,10595
47,tie,11862
47,tde,11703
47,ra,5811
48,ddi,11370
48,ddd,11372
48,cie,12830
48,cii,12834
48,cdi,12832
48,cde,12833
48,tie,10567
48,tde,10511
48,ra,10674
49,ddi,11200
49,ddd,11374
49,cie,11156
49,cii,11158
49,cdi,11157
49,cde,11155
49,tie,13047
49,tde,13050
49,ra,VACIO
50,ddi,13001
50,ddd,13002
50,cie,12339
50,cii,12340
50,cdi,12341
50,cde,12342
50,tie,13289
50,tde,13288
50,ra,S/N
277,ddi,12405
277,ddd,11127
277,tie,10072
277,tii,10071
277,tdi,10070
277,tde,10069
277,ra,6547
286,ddi,10461
286,ddd,10462
286,tie,6927R
286,tii,8846R
286,tdi,7944R
286,tde,7942R
286,ra,s/n
198,ddi,s/n
198,ddd,s/n
198,tie,S/N
198,tii,S/N
198,tdi,s/n
198,tde,s/n
287,ddi,11456
287,ddd,11457
287,tie,10107
287,tii,9836
287,tdi,10105
287,tde,10110
287,ra,27vacio
288,ddi,10623
288,ddd,10622
288,tie,10627
288,tii,10626
288,tdi,10624
288,tde,10625
288,ra,8791
214,ddi,10366
214,ddd,10365
214,tie,10465
214,tii,10466
214,tdi,10467
214,tde,10468
214,ra,S/N
289,ddi,12497
289,ddd,12503
289,tie,10741
289,tii,10426
289,tdi,10695
289,tde,10694
289,ra,8805
290,ddi,10196
290,ddd,10200
290,tie,10899
290,tii,10900
290,tdi,10901
290,tde,10902
290,ra,9688
291,ddi,11339
291,ddd,11340
291,tie,11341
291,tii,11342
291,tdi,8887
291,tde,11343
291,ra,7487
292,ddi,11349
292,ddd,11350
292,tie,11346
292,tii,11345
292,tdi,11351
292,tde,11352
292,ra,10442
293,ddi,12679
293,ddd,12678
293,tie,12680
293,tii,12681
293,tdi,12682
293,tde,12683
293,ra,10449
425,ddi,s/n
425,ddd,s/n
425,tie,s/n
425,tde,s/n
216,ddi,12334
216,ddd,12333
216,tie,11083
216,tii,11082
216,tdi,7856
216,tde,8835
216,ra,26vacio
279,ddi,7883
279,ddd,7884
279,tie,6979
279,tii,6980
279,tdi,S/N
279,tde,7175
232,ddi,s/n
232,ddd,s/n
232,tie,S/N
232,tii,s/n
232,tdi,s/n
232,tde,s/n
280,ddi,11790
280,ddd,11789
280,tie,11791
280,tii,11792
280,tdi,11793
280,tde,11794
280,ra,vacio39
424,ddi,s/n
424,ddd,s/n
424,tie,s/n
424,tde,s/n
278,ddi,11708
278,ddd,11707
278,tie,11709
278,tii,11710
278,tdi,11711
278,tde,11712
278,ra,s/n
418,ddi,s/n
418,ddd,s/n
418,tie,S/N
418,tde,S/N
302,ddi,12907
302,ddd,12906
302,tie,12236
302,tii,12237
302,tdi,12238
302,tde,12239
297,ddi,12844
297,ddd,12843
297,tie,12211
297,tii,12210
297,tdi,12215
297,tde,12214
297,ra,6719
294,ddi,12331
294,ddd,12332
294,tie,11420
294,tii,11421
294,tdi,12216
294,tde,12218
294,ra,9745
300,ddi,11460
300,ddd,11452
300,tie,11450
300,tii,11449
300,tdi,11459
300,tde,11461
300,ra,9802
301,ddi,11451
301,ddd,11448
301,tie,11445
301,tii,11447
301,tdi,11444
301,tde,11443
301,ra,9090
299,ddi,11169
299,ddd,11172
299,tie,11168
299,tii,11170
299,tdi,11171
299,tde,11167
299,ra,6777B
281,ddi,s/n
281,ddd,s/n
281,tie,S/N
281,tii,S/N
281,tdi,S/N
281,tde,S/N
52,ddi,8686
52,ddd,8694
52,cie,8639
52,cii,8635
52,cdi,8638
52,cde,8637
52,tie,8446
52,tde,8445
52,ra,5689
423,ddi,12633
423,ddd,12632
423,tie,S/N
423,tde,S/N
2014,ddi,8352
2014,ddd,8351
2014,cie,7789
2014,cii,7790
2014,cdi,7791
2014,cde,7792
2014,tie,7847
2014,tde,7848
53,ddi,12154
53,ddd,12155
53,cie,9870
53,cii,9576
53,cdi,9869
53,cde,9552
53,tie,11054
53,tde,11052
53,ra,6753
2017,ddi,6387
2017,ddd,6388
2017,cie,5400
2017,cii,5397
2017,cdi,vacio 24
2017,cde,vacio 25
2017,tie,6083
2017,tde,6084
298,ddi,13030
298,ddd,13029
298,tie,13031
298,tii,13032
298,tdi,13033
298,tde,13034
298,ra,11265
217,ddi,9912
217,ddd,7864
217,tie,9917
217,tii,9915
217,tdi,9916
217,tde,9914
217,ra,6829
2018,ddi,7897B
2018,ddd,3469
2018,tie,7223
2018,tii,7222
2018,tdi,7439
2018,tde,7438
2018,ra,7138
303,ddi,12549
303,ddd,12548
303,tie,12039
303,tii,12038
303,tdi,11953
303,tde,11954
51,ddi,12041
51,ddd,12040
51,cie,12198
51,cii,12199
51,cdi,12200
51,cde,12209
51,tie,12042
51,tde,12043
51,ra,5749
296,ddi,6637
296,ddd,6640
296,tie,6826
296,tii,6827
296,tdi,6826B
296,tde,6827B
3000,ddi,S/N
3000,ddd,S/N
3000,tie,11911
3000,tii,11908
3000,tdi,s/n
3000,tde,s/n
3000,ra,S/N
215,ddi,13327
215,ddd,13326
215,tie,10008
215,tii,10007
215,tdi,10006
215,tde,10005
215,ra,3645
306,ddi,11490
306,ddd,10941
306,tie,10940
306,tii,11484
306,tdi,11493
306,tde,11491
306,ra,s/n
283,ddi,11873
283,ddd,11872
283,tie,11907
283,tii,11906
283,tdi,11905
283,tde,11904
295,ddi,11895
295,ddd,11894
295,tie,8841
295,tii,8842
295,tdi,8843
295,tde,8844
55,ddi,11863
55,ddd,11830
55,cie,8484
55,cii,8483
55,cdi,8482
55,cde,8481
55,tie,11384
55,tde,11385
55,ra,8803
54,ddi,10836
54,ddd,10833
54,cie,10751
54,cii,10597
54,cdi,10752
54,cde,10750
54,tie,11842
54,tde,12153
54,ra,6306
309,ddi,13126
309,ddd,13125
309,tie,12081
309,tii,12076
309,tdi,12079
309,tde,12077
308,ddi,12013
308,ddd,12012
308,tie,11900
308,tii,11901
308,tdi,11902
308,tde,11903
2021,ddi,12709
2021,ddd,12708
2021,tie,12710
2021,tii,12711
2021,tdi,12712
2021,tde,12713
56,ddi,12936
56,ddd,12935
56,cie,13040
56,cii,13039
56,cdi,13037
56,cde,13038
56,tie,12322
56,tde,12315
56,ra,1
305,ddi,11699
305,ddd,11698
305,tie,9249
305,tii,9250
305,tdi,9251
305,tde,9252
305,ra,6291
304,ddi,11419
304,ddd,11418
304,tie,9938
304,tii,9939
304,tdi,9940
304,tde,9941
304,ra,4540
2010,ddi,12027
2010,ddd,12026
2010,tie,12028
2010,tii,9822
2010,tdi,12030
2010,tde,12031
2010,ra,6573
2023,ddi,7704
2023,ddd,7705
2023,tie,6281
2023,tii,6282
2023,tdi,6525
2023,tde,6526
2027,ddi,9691
2027,ddd,9694
2027,cie,8370
2027,cii,8367
2027,cdi,8348
2027,cde,8347
2027,tie,9653
2027,tde,8878
311,ddi,11051
311,ddd,11050
311,tie,10352
311,tii,10351
311,tdi,10356
311,tde,10355
311,ra,S/N
310,ddi,11511
310,ddd,11510
310,tie,11512
310,tii,11513
310,tdi,11514
310,tde,11515
310,ra,8162
315,ddi,10945
315,ddd,10944
315,tie,10948
315,tii,10949
315,tdi,10947
315,tde,10946
315,ra,8298
307,ddi,12787
307,ddd,12786
307,tie,12795
307,tii,12794
307,tdi,12792
307,tde,12793
307,ra,11465
2024,ddi,13112
2024,ddd,13111
2024,tie,12220
2024,tii,12221
2024,tdi,12222
2024,tde,12223
57,ddi,11700
